"","ip_address","latitude","longitude"
"5910732","41.222.181.72",-3.0034,31.9303
"5915354","41.222.181.72",-3.3595,37.4076
"5916682","41.222.181.72",-4.0922,37.7574
"5922757","41.222.181.72",-4.0703,37.7437
"5922993","41.222.181.72",-6.8128,39.2676
"5923828","41.222.181.72",-3.8296,32.6031
"5925258","41.222.181.72",-6.8953,39.2639
"5935131","41.222.181.72",-6.1603,35.7925
"5935258","41.222.181.72",-7.9578,31.6176
"5935283","41.222.181.72",-6.4365,38.8981
"5946089","41.222.181.72",-3.1838,33.776
"5949703","41.222.181.72",-6.8894,39.2666
"5951393","41.222.181.72",-2.546,32.9061
"6173204","41.222.181.72",-6.1647,35.7211
"6222320","41.222.181.72",-3.0008,31.9332
"6290749","41.222.181.72",-2.8029,33.9911
"6292204","41.222.181.72",-6.8014,39.1421
"6304921","41.222.181.72",-8.9008,33.5441
"6323280","41.222.181.72",-2.8004,33.9881
"6404207","41.222.181.72",-2.6075,32.9093
"6415614","41.222.181.72",-6.7929,39.0911
"6417758","41.222.181.72",-10.6772,35.6513
"6421639","41.222.181.72",-6.1886,39.2453
"6424821","41.222.181.72",-4.0795,37.7431
"6429165","41.222.181.72",-5.0812,39.0839
"6446272","41.222.181.72",-3.0039,31.925
"6457689","41.222.181.72",-8.9175,33.4466
"6512123","41.222.181.72",-5.126,39.0896
"6529121","41.222.181.72",-6.8524,39.2289
"6554462","41.222.181.72",-6.3409,36.49
"6574774","41.222.181.72",-5.0802,39.0782
"6594922","41.222.181.72",-6.8162,39.2566
"6598827","41.222.181.72",-3.0011,31.9311
"6600657","41.222.181.72",-2.5165,32.938
"6672943","41.222.181.72",-6.7806,39.2216
"6700102","41.222.181.72",-6.8638,39.2515
"6717374","41.222.181.72",-4.0688,37.7373
"6736889","41.222.181.72",-6.8744,39.2053
"6739441","41.222.181.72",-6.8953,39.2639
"6757117","41.222.181.72",-3.8296,32.603
"6758979","41.222.181.72",-6.8233,39.2737
"6775184","41.222.181.72",-10.2789,40.1872
"6783115","41.222.181.72",-2.5283,32.8947
"6787446","41.222.181.72",-2.5342,32.903
